title,category
Alexander_Fleming,People
Alexis_of_Russia,People
Enid_Blyton,People
Cyrus_McCormick,People
Theodor_Herzl,People
Husayn_ibn_Ali,People
Irving_Thalberg,People
Karen_Blixen,People
Abd_al-Malik_ibn_Marwan,People
Marlene_Dietrich,People
Francis_Xavier,People
Matthias_Corvinus,People
Gottlob_Frege,People
Aeschylus,People
Osamu_Tezuka,People
Ahmad_Shah_Durrani,People
Justus_von_Liebig,People
Joseph_Beuys,People
David_Hilbert,People
Karl_Barth,People
Cyril_and_Methodius,People
Louis_XIV,People
Alain_Delon,People
Grigori_Rasputin,People
Werner_Herzog,People
Éamon_de_Valera,People
Nnamdi_Azikiwe,People
Vytautas_the_Great,People
Josquin_des_Prez,People
William_Randolph_Hearst,People
Antonie_van_Leeuwenhoek,People
Henry_Fielding,People
Margaret_I_of_Denmark,People
D._S._Senanayake,People
Hermann_Hesse,People
Muammar_Gaddafi,People
Johannes_Vermeer,People
Mikhail_Sholokhov,People
Daniel_of_Galicia,People
Benjamin_Netanyahu,People
George_Gershwin,People
Coco_Chanel,People
Benjamin_Disraeli,People
Edgar_Allan_Poe,People
Du_Fu,People
Sukarno,People
Sher_Shah_Suri,People
Thomas_More,People
Charles_Hermite,People
Philip_V_of_Spain,People
Aleister_Crowley,People
Jack_Kerouac,People
Emperor_Meiji,People
Mencius,People
Margaret_Thatcher,People
Donald_Knuth,People
Douglas_MacArthur,People
"Charles_V,_Holy_Roman_Emperor",People
Antoni_Gaudí,People
"William_I,_German_Emperor",People
Wang_Wei,People
Hicham_El_Guerrouj,People
Harriet_Tubman,People
Eddy_Merckx,People
Jackie_Chan,People
Georges_Méliès,People
James_Hutton,People
Ida_Tarbell,People
Tughril_I,People
Nadia_Boulanger,People
Zhuge_Liang,People
Han_Fei,People
Mithridates_VI_Eupator,People
Peter_Kropotkin,People
Heraclius,People
Gregory_of_Nyssa,People
Ludwig_Wittgenstein,People
Dolly_Parton,People
Francis_I_of_France,People
James_Chadwick,People
Vladimir_Lenin,People
Alexander_Graham_Bell,People
Martin_Heidegger,People
Henry_IV_of_France,People
Shivaji,People
Gajah_Mada,People
Lionel_Messi,People
Mimar_Sinan,People
Ali,People
Stephen_Hawking,People
Jack_Kirby,People
Georges_Clemenceau,People
Jeongjo_of_Joseon,People
Friedrich_Schiller,People
Joseph_Conrad,People
George_Bernard_Shaw,People
Bette_Davis,People
Lise_Meitner,People
Albrecht_Dürer,People
Abu_Bakr,People
Aristotle,People
Yves_Saint_Laurent_(designer),People
"Frederick_II,_Holy_Roman_Emperor",People
Bumin_Qaghan,People
Leland_Stanford,People
George_Stephenson,People
Eisaku_Satō,People
Prince_Henry_the_Navigator,People
Daniel_Bernoulli,People
Amr_ibn_al-As,People
Michael_Schumacher,People
Larisa_Latynina,People
Naguib_Mahfouz,People
Andrew_Mellon,People
Cesare_Beccaria,People
Edward_Weston,People
John_Wycliffe,People
Abu_Muslim,People
Al-Farabi,People
Wilhelm_Röntgen,People
André-Marie_Ampère,People
Hadrian,People
Nicolaus_Copernicus,People
William_Rowan_Hamilton,People
Babe_Ruth,People
Saint_Peter,People
Joan_Miró,People
Brian_Eno,People
Antonio_Gramsci,People
Lycurgus,People
Lucille_Ball,People
Johnny_Weissmuller,People
The_Beatles,People
Julie_Andrews,People
Adolf_Hitler,People
Karl_Weierstrass,People
Robert_A._Heinlein,People
Robert_the_Bruce,People
Linus_Pauling,People
Dōgen,People
Hiroshige,People
Clement_of_Alexandria,People
Erich_Ludendorff,People
John_Gielgud,People
Abbas_the_Great,People
Cristiano_Ronaldo,People
Serena_Williams,People
Eugenius_Warming,People
Che_Guevara,People
Edward_III_of_England,People
Joseph-Louis_Lagrange,People
Pope_Innocent_III,People
Sappho,People
Hayreddin_Barbarossa,People
Augustus_II_the_Strong,People
Abdul_Hamid_II,People
Rodgers_and_Hammerstein,People
Suryavarman_II,People
Demosthenes,People
Al-Hakim_bi-Amr_Allah,People
Vincent_van_Gogh,People
Alexander_Pope,People
Pāṇini,People
Richard_Strauss,People
Robert_Andrews_Millikan,People
Muthuswami_Dikshitar,People
Elizabeth_II,People
Otto_Hahn,People
Simone_Biles,People
Arturo_Toscanini,People
Muhammad_Ali,People
Shah_Jahan,People
Tyagaraja,People
Buster_Keaton,People
Umar,People
Sulla,People
Pierre-Auguste_Renoir,People
Georg_Cantor,People
Gregory_of_Nazianzus,People
Fridtjof_Nansen,People
Thomas_Robert_Malthus,People
Ivan_III_of_Russia,People
Spencer_Tracy,People
B._B._King,People
Montgolfier_brothers,People
14th_Dalai_Lama,People
Mary_Magdalene,People
Mario_Vargas_Llosa,People
Ingmar_Bergman,People
Franklin_D._Roosevelt,People
Martina_Navratilova,People
Edward_Bernays,People
Vladimir_Mayakovsky,People
Mahmud_of_Ghazni,People
Jane_Austen,People
Ahmad_al-Mansur,People
Amerigo_Vespucci,People
Arthur_Rubinstein,People
Friedrich_Nietzsche,People
José_Rizal,People
Sigismund_III_Vasa,People
Greta_Garbo,People
António_de_Oliveira_Salazar,People
The_Doors,People
Kazuo_Ishiguro,People
Robert_Burns_Woodward,People
George_Soros,People
Martin_Luther_King_Jr.,People
Jean_Cocteau,People
Rama_I,People
Maudgalyayana,People
Benazir_Bhutto,People
Stéphane_Mallarmé,People
Henry_V_of_England,People
Bal_Gangadhar_Tilak,People
Jeanne_Moreau,People
Judy_Garland,People
Jack_Nicklaus,People
Meryl_Streep,People
Ayn_Rand,People
Duke_Ellington,People
Stanley_Kubrick,People
Qu_Yuan,People
Origen,People
Jacob_Bernoulli,People
Elie_Wiesel,People
Chandragupta_II,People
The_Buddha,People
Mother_Teresa,People
Augustin-Jean_Fresnel,People
Horace,People
Ted_Turner,People
Vaslav_Nijinsky,People
Svante_Arrhenius,People
John_Dryden,People
Xenophon,People
Florence_Nightingale,People
Xuanzang,People
Andrey_Kolmogorov,People
Theodor_W._Adorno,People
Abraham_Maslow,People
Augustine_of_Hippo,People
Raymond_Chandler,People
Yuzuru_Hanyu,People
Marcel_Duchamp,People
Eadweard_Muybridge,People
Audrey_Hepburn,People
Thales_of_Miletus,People
Mae_West,People
"Ferdinand_I,_Holy_Roman_Emperor",People
George_Balanchine,People
Woody_Allen,People
Henry_II_of_England,People
Kenzaburō_Ōe,People
Emiliano_Zapata,People
Jacobus_Henricus_van_'t_Hoff,People
Władysław_II_Jagiełło,People
Võ_Nguyên_Giáp,People
Heraclitus,People
Stephen_King,People
Kenneth_Kaunda,People
Joseph_Stalin,People
Johann_Gottlieb_Fichte,People
Carlos_Slim,People
Stephen_Foster,People
Chiang_Kai-shek,People
Susan_B._Anthony,People
Al-Shafi'i,People
Francis_Bacon,People
Richard_I_of_England,People
A._C._Bhaktivedanta_Swami_Prabhupada,People
William_III_of_England,People
"Christina,_Queen_of_Sweden",People
Tao_Yuanming,People
Don_Bradman,People
Constantine_P._Cavafy,People
Hugo_Grotius,People
Al-Nawawi,People
Brothers_Grimm,People
Teresa_Teng,People
Franz_Liszt,People
William_Wordsworth,People
J._Edgar_Hoover,People
Pablo_Escobar,People
Edward_I_of_England,People
Charles_the_Fat,People
Alexandre_Dumas,People
George_Berkeley,People
George_C._Marshall,People
Alfred_Thayer_Mahan,People
Thutmose_III,People
Charlie_Chaplin,People
Juan_Perón,People
John_Marshall,People
Augustin-Louis_Cauchy,People
J._M._W._Turner,People
Roman_Polanski,People
Vivien_Leigh,People
Samuel_Goldwyn,People
Paul_Biya,People
"Joseph_II,_Holy_Roman_Emperor",People
Robert_Bresson,People
Afonso_I_of_Portugal,People
Arthur_Rimbaud,People
Samudragupta,People
A._J._P._Taylor,People
Mstislav_Rostropovich,People
Emperor_Xuanzong_of_Tang,People
Jonathan_Edwards_(theologian),People
Carl_Gustaf_Emil_Mannerheim,People
D._H._Lawrence,People
John_Locke,People
Ivan_Turgenev,People
Virgil,People
Prince_Eugene_of_Savoy,People
Ahmad_ibn_Hanbal,People
Alfred_North_Whitehead,People
Tipu_Sultan,People
Jean_Renoir,People
Georgy_Zhukov,People
Robert_Hooke,People
Ivan_Asen_II,People
John_Constable,People
Woodrow_Wilson,People
Johannes_Diderik_van_der_Waals,People
Harun_al-Rashid,People
Hipparchus,People
Giacomo_Casanova,People
Madhubala,People
Aubrey_Beardsley,People
Basil_II,People
Jack_Nicholson,People
Haruki_Murakami,People
Cyrus_the_Great,People
Bai_Juyi,People
Túpac_Amaru_II,People
Emperor_Wen_of_Sui,People
Irving_Langmuir,People
Frederick_Douglass,People
Benito_Juárez,People
Al-Ghazali,People
Ahmad_ibn_Ibrahim_al-Ghazi,People
Sultan_Agung_of_Mataram,People
Jan_van_Eyck,People
Pericles,People
Duns_Scotus,People
Charlemagne,People
Ignaz_Semmelweis,People
Khalid_ibn_al-Walid,People
Frederick_William_I_of_Prussia,People
Led_Zeppelin,People
Franz_Boas,People
Paavo_Nurmi,People
Wu_Zetian,People
Diophantus,People
Askia_Muhammad_I,People
"John_Churchill,_1st_Duke_of_Marlborough",People
Modest_Mussorgsky,People
Federico_Fellini,People
Anwar_Sadat,People
Edmund_Husserl,People
Valmiki,People
Tiger_Woods,People
Ashurbanipal,People
Jean-Paul_Sartre,People
William_Pitt_the_Younger,People
Linus_Torvalds,People
